id,account_id,payment,expected_invoice,plan,date_received
1,36,295.0,true,Basic,2020-09-30
2,28,295.0,true,Basic,2020-09-30
3,244,295.0,true,Basic,2020-10-26
4,203,295.0,true,Basic,2020-10-27
5,164,295.0,true,Basic,2020-10-28
6,81,295.0,true,Basic,2020-10-29
7,63,295.0,true,Basic,2020-10-29
8,90,295.0,true,Basic,2020-10-29
9,80,295.0,true,Basic,2020-10-29
10,103,295.0,true,Basic,2020-10-29
11,36,295.0,true,Basic,2020-10-30
12,28,295.0,true,Basic,2020-10-30
13,327,295.0,true,Basic,2020-11-24
14,314,875.0,true,Premium,2020-11-24
15,244,295.0,true,Basic,2020-11-26
16,187,295.0,true,Basic,2020-11-27
17,203,295.0,true,Basic,2020-11-27
18,132,295.0,true,Basic,2020-11-28
19,120,295.0,true,Basic,2020-11-28
20,164,295.0,true,Basic,2020-11-28
21,90,329.8,true,Basic,2020-11-29
22,103,295.0,true,Basic,2020-11-29
23,63,295.0,true,Basic,2020-11-29
24,81,295.0,true,Basic,2020-11-29
25,80,515.4,true,Basic,2020-11-29
26,43,295.0,true,Basic,2020-11-30
27,28,295.0,true,Basic,2020-11-30
28,36,295.0,true,Basic,2020-11-30
29,327,295.0,true,Basic,2020-12-24
30,314,875.0,true,Premium,2020-12-24
31,244,295.0,true,Basic,2020-12-26
32,203,295.0,true,Basic,2020-12-27
33,187,295.0,true,Basic,2020-12-27
34,120,295.0,true,Basic,2020-12-28
35,132,295.0,true,Basic,2020-12-28
36,164,295.0,true,Basic,2020-12-28
37,92,295.0,true,Basic,2020-12-29
38,81,295.0,true,Basic,2020-12-29
39,80,483.5,true,Basic,2020-12-29
40,63,295.0,true,Basic,2020-12-29
41,103,295.0,true,Basic,2020-12-29
42,90,413.9,true,Basic,2020-12-29
43,43,295.0,true,Basic,2020-12-30
44,53,295.0,true,Basic,2020-12-30
45,36,295.0,true,Basic,2020-12-30
46,28,295.0,true,Basic,2020-12-30
